"uid_qm_txt","uid_qm_num","regex","label"
"dhb.not_reported_behaviour_stopped",,"(not.report|inaction).*behaviour.stopped","e05b_05 why did you not report your experience of bullying and harassment? (% selecting 'the behaviour stopped before i could report it' of those who ticked at least one e05b option) [notes 8, 9]"
"dhb.not_reported_jeopardise_job",,"(not.report|inaction).*jeopardise.*job","e05b_01 why did you not report your experience of bullying and harassment? (% selecting 'i felt i might jeopardise my job' of those who ticked at least one e05b option) [notes 8, 9]"
"dhb.not_reported_not_know_how",,"(not.report|inaction).*not.know","e05b_04 why did you not report your experience of bullying and harassment? (% selecting 'i did not know how to report it or who to speak to' of those who ticked at least one e05b option) [notes 8, 9]"
"dhb.not_reported_other_reason",,"(not.report|inaction).*another.reason","e05b_06 why did you not report your experience of bullying and harassment? (% selecting 'i did not report it for another reason' of those who ticked at least one e05b option) [notes 8, 9]"
"dhb.not_reported_troublemaker",,"(not.report|inaction).*troublemaker","e05b_02 why did you not report your experience of bullying and harassment? (% selecting 'i did not want to be seen as a troublemaker' of those who ticked at least one e05b option) [notes 8, 9]"
"dhb.punished_reporting",,"punished.*reporting","did you feel like you were punished for reporting the incident? (% selecting 'no')"
"dhb.reported_another_way",,"report.*another.way(\s\(|')","e05a_04 how did you report your experience of bullying and harassment? (% selecting 'in another way' of those who ticked at least one e05a option) [notes 8, 9]"
"dhb.reported_bullying",,"(^|^e\d+_\w+\.?\s|^e05[:.]\s)did.you.report","did you report your experience of bullying and harassment? (% selecting 'no')"
"dhb.reported_complaint",,"report.*complaint","e05a_01 how did you report your experience of bullying and harassment? (% selecting 'i raised a formal complaint' of those who ticked at least one e05a option) [notes 8, 9]"
"dhb.reported_confided",,"report.*confided","e05a_03 how did you report your experience of bullying and harassment? (% selecting 'i confided in someone (for example, a colleague)' of those who ticked at least one e05a option) [notes 8, 9]"
"dhb.reported_less_formal",,"report.*less.formal","e05a_02 how did you report your experience of bullying and harassment? (% selecting 'i reported it in another way, through less formal means' of those who ticked at least one e05a option) [notes 8, 9]"
"dvl.about_devolution",,"know.about.*devolution","b60 i know about the devolution of powers from uk government and parliament to the devolved governments and parliaments or legislatures in scotland, wales and northern ireland (% selecting 'strongly agree' or 'agree') [note 1]"
"dvl.devolution_resources",,"know.*resources.*devolution","b61 i know where to access resources and training on devolution and intergovernmental working (% selecting 'strongly agree' or 'agree') [note 1]"
"eng.organisation_inspires",,"organisation.*inspires","[my organisation] inspires me to do the best in my job (% selecting 'strongly agree' or 'agree')"
"eng.organisation_motivates",,"organisation.*motivates","[my organisation] motivates me to help it achieve its objectives (% selecting 'strongly agree' or 'agree')"
"eng.personal_attachment",,"personal.attachment","b49 i feel a strong personal attachment to [my organisation] (% selecting 'strongly agree' or 'agree')"
"eng.proud_to_tell",,"proud.*tell","b47 i am proud when i tell others i am part of [my organisation] (% selecting 'strongly agree' or 'agree')"
"eng.recommend_organisation",,"recommend.*organisation","b48 i would recommend [my organisation] as a great place to work (% selecting 'strongly agree' or 'agree')"
"ift.respects_differences",,"respects.*differences","b28 i think that [my organisation] respects individual differences (for example, cultures, working styles, backgrounds, ideas, etc.) (% selecting 'strongly agree' or 'agree')"
"ift.treated_fairly",,"treated.fairly","b25 i am treated fairly at work (% selecting 'strongly agree' or 'agree')"
"ift.treated_respect",,"treated.*respect","b26 i am treated with respect by the people i work with (% selecting 'strongly agree' or 'agree')"
"ift.work_valued",,"valued.*work","b27 i feel valued for the work i do (% selecting 'strongly agree' or 'agree')"
"inf.handle_information",,"handle.*information","c01. i know where to go to find out how to handle personal and sensitive information (% strongly agree or agree)"
"inf.information_training",,"training.*information","c02. in the past 12 months have you received training on handling data and procedures to protect personal and sensitive information? (% yes)"
"int.leave_asap",,"i.want.to.leave.*organisation.*as.soon.as.possible|^c01_1","c01_1 which of the following statements most reflects your current thoughts about working for [my organisation]? (% selecting 'i want to leave my organisation as soon as possible')"
"int.leave_next_12m",,"i.want.to.leave.*organisation.*next.*months|^c01_2","c01_2 which of the following statements most reflects your current thoughts about working for [my organisation]? (% selecting 'i want to leave my organisation within the next 12 months')"
"int.stay_next_year",,"i.want.to.stay.*organisation.*next.year|^c01_3","c01_3 which of the following statements most reflects your current thoughts about working for [my organisation]? (% selecting 'i want to stay working for my organisation for at least the next year')"
"int.stay_three_years",,"i.want.to.stay.*organisation.*three.years|^c01_4","c01_4 which of the following statements most reflects your current thoughts about working for [my organisation]? (% selecting 'i want to stay working for my organisation for at least the next three years')"
"int.why_leave_better_balance",,"why.*leave.*better.*balance","c02_07 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'for a better work-life balance' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_better_pay",,"why.*leave.*better.*pay","c02_04 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'for a better pay and benefit package' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_end_contract",,"why.*leave.*end.*contract","c02_01 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'end of my current contract or loan' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_external_promotion",,"why.*leave.*promotion.*outside","c02_03 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'a promotion or career progression outside of the civil service' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_interesting_work",,"why.*leave.*interesting.work","c02_05 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'for more interesting work' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_internal_promotion",,"why.*leave.*promotion.*within","c02_02 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'a promotion or career progression within the civil service' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_lack_inclusion",,"why.*leave.*inclusion","c02_08 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'lack of inclusion and fair treatment' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_organisational_culture",,"why.*leave.*organisational.culture","c02_09 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'don’t like organisational culture' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_other",,"why.*leave.*other","c02_16 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'other' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_personal",,"why.*leave.*personal","c02_13 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'personal circumstances (for example, caring responsibilities, ill health)' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_poor_leadership",,"why.*leave.*poor.leadership","c02_12 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'due to poor leadership' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_poor_management",,"why.*leave.*poor.*management","c02_10 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'due to poor line management' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_retiring",,"why.*leave.*retiring","c02_14 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'retiring' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_want_change",,"why.*leave.*want.*change","c02_15 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'just want a change' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_work_relationships",,"why.*leave.*work.relationships","c02_11 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'due to poor work relationships' of those who ticked at least one c02 option) [notes 7, 9]"
"int.why_leave_workload",,"why.*leave.*workload","c02_06 why do you want to leave [my organisation] immediately or within the next 12 months? (% selecting 'due to unmanageable workload' of those who ticked at least one c02 option) [notes 7, 9]"
"ldv.access_learning",,"access.*learning","b21 i am able to access the right learning and development opportunities when i need to (% selecting 'strongly agree' or 'agree')"
