"organisation","year_from","year_to","org_codes","dept_groups"
"Scottish Courts Service",2011,2011,,"Scottish Government"
"Scottish Courts and Tribunals Service",2015,2024,"SCTS, SCTS0000","Scottish Government"
"Scottish Forestry",2019,2024,"SF0000, SF","Scottish Government"
"Scottish Government",2009,2024,"SG, SG0000","Scottish Government"
"Scottish Government (excluding agencies)",2010,2011,,"Scottish Government"
"Scottish Housing Regulator",2009,2024,"SHR, SHR0000","Scottish Government"
"Scottish Prison Service",2010,2024,"SPS, SPS0000","Scottish Government"
"Scottish Public Pensions Agency",2009,2024,"SPPA, SPPA0000","Scottish Government"
"Scottish Tribunals Service",2012,2014,,"Scottish Government"
"Serious Fraud Office",2009,2024,"SFO, SFO0000","Attorney General's Departments, Attorney General's departments"
"Skills Funding Agency",2012,2016,"SFA","Business, Innovation and Skills, Business, Innovation & Skills, Department for Education"
"Skils Funding Agency",2011,2011,,"Business, Innovation and Skills"
"Social Security Scotland",2019,2024,"SSS0000, SSS","Scottish Government"
"Social Work Inspection Agency",2010,2010,,"Scottish Government"
"Social Work Inspection Authority",2009,2009,,"Scottish Government"
"Student Awards Agency Scotland",2013,2024,"SAAS0000, SAAS","Scottish Government"
"Student Awards Agency for Scotland",2009,2018,"SAAS","Scottish Government"
"Submarine Delivery Agency",2018,2024,"SDA, SDA0000","Defence"
"TSol",2009,2014,,"Attorney General's Departments, Attorney General's departments"
"The Insolvency Service",2011,2024,"INSS, INSS0000","Business, Innovation and Skills, Business, Innovation & Skills, Business, Energy & Industrial Strategy, Business, Energy and Industrial Strategy, Department for Business and Trade"
"The National Archives",2010,2024,"TNA, TNA0000","Justice, Ministry of, Justice, Culture, Media & Sport, Digital, Culture, Media & Sport, Digital, Culture, Media and Sport, Culture, Media and Sport"
"The Planning Inspectorate",2009,2012,,"Communities and Local Government, Communities and Local Government, Department for"
"The Royal Parks",2009,2016,"TRP","Culture, Media and Sport, Culture, Media and Sport, Department for, Culture, Media & Sport"
"Transport Scotland",2009,2024,"TS, TS0000","Scottish Government"
"Tribunal Service",2009,2009,,"Justice"
"Tribunals Service",2010,2010,,"Justice, Ministry of"
"UK Border Agency",2009,2012,,"Home Office"
"UK Debt Management Office",2009,2024,"DMO, DMO0000","Chancellor's Other Departments, Chancellor's other departments, HM Treasury and Chancellor's other departments, HM Treasury and Chancellor's departments, HM Treasury Group"
"UK Export Finance",2012,2024,"UKEF, UKEF0000","UK Export Finance"
"UK Health Security Agency",2021,2024,"UKHSA","Health and Social Care"
"UK Hydrographic Office",2009,2024,"UKHO, UKHO0000","Defence, Defence, Ministry of"
