uid_demcat_txt,uid_demcat_num,resp_type,label_short,label_long,label_full
functn_tax,1.07.03.222,primary,Tax professional,Tax professional,Operational function: Tax professional
functn_oth,1.07.03.900,secondary,Other role,Other role,Operational function: Other role
devsch_fst,1.08.00.101,primary,Fast Stream,Fast Stream scheme(s),Development scheme: Fast Stream scheme(s)
devsch_fst_cur,1.08.00.102,primary,Fast Stream (currently),Currently on a Fast Stream scheme,Development scheme: Currently on a Fast Stream scheme
devsch_fst_prv,1.08.00.103,primary,Fast Stream (previously),Previously on a Fast Stream scheme,Development scheme: Previously on a Fast Stream scheme
devsch_app,1.08.00.201,primary,Apprenticeship,Apprenticeship scheme,Development scheme: Apprenticeship scheme
devsch_dir,1.08.00.201,primary,Directors Leadership Prog.,Directors Leadership Programme,Development scheme: Directors Leadership Programme
devsch_fls,1.08.00.202,primary,Future Leaders Scheme,Future Leaders Scheme,Development scheme: Future Leaders Scheme
devsch_sls,1.08.00.203,primary,Senior Leaders Scheme,Senior Leaders Scheme,Development scheme: Senior Leaders Scheme
devsch_pap,1.08.00.301,primary,Positive Action Pathway,Positive Action Pathway,Development scheme: Positive Action Pathway
devsch_bbo,1.08.00.302,primary,Beyond Boundaries,Beyond Boundaries,Development scheme: Beyond Boundaries
devsch_idp,1.08.00.303,primary,Individual Development Prog.,Individual Development Programme,Development scheme: Individual Development Programme
devsch_oth,1.08.00.900,primary,Another scheme,Another development scheme,Development scheme: Another development scheme
devsch_oth_cur,1.08.00.901,primary,Another shceme (currently),Currently on another development scheme,Development scheme: Currently on another development scheme
devsch_oth_prv,1.08.00.902,primary,Another scheme (previously),Previously on another development scheme,Development scheme: Previously on another development scheme
devsch_not,1.08.00.995,secondary,Not on a development scheme,Not on a development scheme,Development scheme: Not on a development scheme
devsch_nap,1.08.00.996,secondary,Not applicable,Not applicable,Development scheme: Not applicable
sexgen_fem,2.01.00.001,primary,Female,Female,Sex: Female
sexgen_mal,2.01.00.002,primary,Male,Male,Sex: Male
sexgen_oth,2.01.00.900,primary,Other identity,I identify in another way,Sex: I identify in another way
cistrn_cis,2.01.01.001,primary,Cisgender,Cisgender,Gender identity (grouped): Cisgender
cistrn_trn,2.01.01.002,primary,Transgender,Transgender,Gender identity (grouped): Cisgender
gendid_cisman,2.01.02.001,primary,Cisgender man,Cisgender man,Gender identity (detailed): Cisgender man
gendid_ciswom,2.01.02.002,primary,Cisgender woman,Cisgender woman,Gender identity (detailed): Cisgender woman
gendid_sam,2.01.02.101,primary,Gender same as sex,Gender identity same as sex,Gender identity (detailed): Gender identity same as sex
gendid_trnman,2.01.02.201,primary,Trans man,Transgender man/male,Gender identity (detailed): Transgender man/male
gendid_trnwom,2.01.02.202,primary,Trans woman,Transgender woman/female,Gender identity (detailed): Transgender woman/female
gendid_nbn,2.01.02.301,primary,Non-binary,Non-binary,Gender identity (detailed): Non-binary
gendid_oth,2.01.02.302,primary,Other gender identity,Another gender identity,Gender identity (detailed): Another gender identity
gendid_dif,2.01.02.303,primary,Gender different to sex,"Gender different to sex, but no identity provided","Gender identity (detailed): Gender different to sex, but no identity provided"
agebnd_1634,2.02.00.001,primary,16-34,Aged 16 to 34,Age: Aged 16 to 34
agebnd_3544,2.02.00.002,primary,35-44,Aged 35 to 44,Age: Aged 35 to 44
agebnd_4554,2.02.00.003,primary,45-54,Aged 45 to 54,Age: Aged 45 to 54
agebnd_55pl,2.02.00.004,primary,55+,Aged 55 and above,Age: Aged 55 and above
agebnd_pns,2.02.00.999,secondary,Prefer not to say,Prefer not to say,Age: Prefer not to say
ethbin_wht,2.03.00.001,primary,White,White,Ethnicity (binary): White
ethbin_min,2.03.00.002,primary,Ethnic minority,Ethnic minority,Ethnicity (binary): Ethnic minority
ethgrp_wht,2.03.01.001,primary,White,White,Ethnicity (grouped): White
ethgrp_mxd,2.03.01.002,primary,Mixed/multiple,Mixed/multiple,Ethnicity (grouped): Mixed/multiple
ethgrp_asn,2.03.01.003,primary,Asian,Asian,Ethnicity (grouped): Asian
ethgrp_blk,2.03.01.004,primary,Black,Black,Ethnicity (grouped): Black
ethgrp_oth,2.03.01.900,primary,Other,Other,Ethnicity (grouped): Other ethnic background
ethgrp_pns,2.03.01.999,secondary,Prefer not to say,Prefer not to say,Ethnicity (grouped): Prefer not to say
ethdet_wht_brt,2.03.03.101,primary,White British,"White English, Scottish, Northern Irish or British","Ethnicity: White English, Scottish, Northern Irish or British"
ethdet_wht_iri,2.03.03.102,primary,White Irish,White Irish,Ethnicity: White Irish
ethdet_wht_gyp,2.03.03.103,primary,Gypsy or Irish Traveller,Gypsy or Irish Traveller,Ethnicity: Gypsy or Irish Traveller
ethdet_wht_rom,2.03.03.104,primary,Roma,Roma,Ethnicity: Roma
ethdet_wht_oth,2.03.03.190,primary,Other White,Any other white background,Ethnicity: Any other white background
ethdet_mxd_wbc,2.03.03.201,primary,White and Black Caribbean,White and Black Caribbean,Ethnicity: White and Black Caribbean
ethdet_mxd_waf,2.03.03.202,primary,White and Black African,White and Black African,Ethnicity: White and Black African
ethdet_mxd_was,2.03.03.203,primary,White and Asian,White and Asian,Ethnicity: White and Asian
ethdet_mxd_oth,2.03.03.290,primary,Other Mixed/Multiple,Any other Mixed/Multiple background,Ethnicity: Any other Mixed/Multiple background
ethdet_asn_ind,2.03.03.301,primary,Indian,Indian,Ethnicity: Indian
ethdet_asn_pak,2.03.03.302,primary,Pakistani,Pakistani,Ethnicity: Pakistani
ethdet_asn_bgd,2.03.03.303,primary,Bangladeshi,Bangladeshi,Ethnicity: Bangladeshi
ethdet_asn_chn,2.03.03.304,primary,Chinese,Chinese,Ethnicity: Chinese
ethdet_asn_oth,2.03.03.390,primary,Other Asian,Any other Asian background,Ethnicity: Any other Asian background
ethdet_blk_afr,2.03.03.401,primary,African,African,Ethnicity: African
ethdet_blk_crb,2.03.03.402,primary,Caribbean,Caribbean,Ethnicity: Caribbean
ethdet_blk_oth,2.03.03.490,primary,Other Black,Any other Black background,Ethnicity: Any other Black background
ethdet_oth_arb,2.03.03.501,primary,Arab,Arab,Ethnicity: Arab
ethdet_oth_oth,2.03.03.900,primary,Other ethnicity,Any other ethnic group,Ethnicity: Any other ethnic group
ethdet_pns,2.03.03.999,secondary,Prefer not to say,Prefer not to say,Ethnicity: Prefer not to say
citizn_brt,2.03.04.001,primary,British,British,Citizenship: British
citizn_cmw,2.03.04.002,primary,Commonwealth,Commonwealth,Citizenship: Commonwealth
citizn_eur,2.03.04.003,primary,EU/EFTA,"European Union, Iceland, Liechtenstein, Norway and Switzerland","Citizenship: European Union, Iceland, Liechtenstein, Norway and Switzerland"
citizn_oth,2.03.04.900,secondary,Other citizenhip,Other citizenhip,Citizenship: Other citizenhip
citizn_dkp,2.03.04.998,secondary,Don't know,Don't know,Citizenship: Don't know
ltcond_ltc,2.04.00.001,primary,Has a long-term limiting condition,Has a long-term limiting condition,Health status: Has a long-term limiting condition
ltcond_ncd,2.04.00.002,primary,No long-term limiting condition,No long-term limiting condition,Health status: No long-term limiting condition
ltcimp_lot,2.04.01.001,primary,Long-term condition that limits a lot,Long-term health condition that limits daily activities a lot,Health condition impact: Long-term health condition that limits daily activities a lot
ltcimp_low,2.04.01.002,primary,Long-term condition that limits a little,Long-term health condition that limits daily activities a little,Health condition impact: Long-term health condition that limits daily activities a little
ltcimp_nim,2.04.01.003,primary,Long-term condition that does not limit,Long-term health condition that does not limit daily activities,Health condition impact: Long-term health condition that does not limit daily activities
ltcimp_ncd,2.04.01.004,primary,No long-term health condition,No-long term health condition,Health condition impact: No-long term health condition
menhel_por,2.04.02.001,primary,Poor,Poor mental health,Mental health rating: Poor mental health
menhel_fai,2.04.02.002,primary,Fair,Fair mental health,Mental health rating: Fair mental health
menhel_god,2.04.02.003,primary,Good,Good mental health,Mental health rating: Good mental health
