uid_demq_txt,uid_cat_txt,uid_demcat_txt,uid_demcat_num,resp_type,label_short,label_long,label_full
wadjps,adj_nop,wadjps_nop,2.04.05.201,primary,No passport,Does not have a workpalce adjustment passport,Workplace adjustment passport: Does not have a workpalce adjustment passport
wadjps,zzz_dkn_wht,wadjps_dkn,2.04.05.998,secondary,Don't know about passport,Does not know what a workplace adjustment passport is,Workplace adjustment passport: Does not know what a workplace adjustment passport is
menops,zzz_yes,menops_mps,2.04.06.001,primary,Experiencing menopause,"Experiencing menopause, perimenopause, or postmenopause",Menopause: Experiencing menopause
menops,zzz_no,menops_nmp,2.04.06.002,primary,Not experiencing menopause,"Not experiencing menopause, perimenopause, or postmenopause",Menopause: Not experiencing menopause
carero,crr_crr,carero_crr,2.05.00.001,primary,Carer,Has caring responsibilities,Carer status: Carer
carero,crr_ncr,carero_ncr,2.05.00.002,primary,Not a carer,Does not have caring responsibilities,Carer status: Not a carer
carero,zzz_pns,carero_pns,2.05.00.999,secondary,Prefer not to say,Prefer not to say,Carer status: Prefer not to say
careif,zzz_sda,careif_sda,2.05.01.001,primary,Strongly disagree,Strongly disagree,Access to carer information and support: Strongly disagree
careif,zzz_dis,careif_dis,2.05.01.002,primary,Disagree,Disagree,Access to carer information and support: Disagree
careif,zzz_nad,careif_nad,2.05.01.003,primary,Neither agree nor disagree,Neither agree nor disagree,Access to carer information and support: Neither agree nor disagree
careif,zzz_agr,careif_agr,2.05.01.004,primary,Agree,Agree,Access to carer information and support: Agree
careif,zzz_sag,careif_sag,2.05.01.005,primary,Strongly agree,Strongly agree,Access to carer information and support: Strongly agree
carebl,zzz_sda,carebl_sda,2.05.02.001,primary,Strongly disagree,Strongly disagree,Manager supports balancing caring responsibilities: Strongly disagree
carebl,zzz_dis,carebl_dis,2.05.02.002,primary,Disagree,Disagree,Manager supports balancing caring responsibilities: Disagree
carebl,zzz_nad,carebl_nad,2.05.02.003,primary,Neither agree nor disagree,Neither agree nor disagree,Manager supports balancing caring responsibilities: Neither agree nor disagree
carebl,zzz_agr,carebl_agr,2.05.02.004,primary,Agree,Agree,Manager supports balancing caring responsibilities: Agree
carebl,zzz_sag,carebl_sag,2.05.02.005,primary,Strongly agree,Strongly agree,Manager supports balancing caring responsibilities: Strongly agree
careps,zzz_yes,careps_hps,2.05.03.001,primary,Has a passport,Has a carer's passport,Carer's passport: Has a carer's passport
careps,zzz_no,careps_nps,2.05.03.002,primary,No passport,Does not have a carer's passport,Carer's passport: Does not have a carer's passport
careps,zzz_dkn_wht,careps_dkn,2.05.03.998,secondary,Don't know about passport,Does not know what a carer's passport is,Carer's passport: Does not know what a carer's passport is
childc,chl_chl,childc_chl,2.06.00.001,primary,Childcare,Has childcare responsibilities,Childcare: Has childcare responsibilities
childc,chl_lon,childc_lnp,2.06.00.002,primary,Childcare (lone parent),Has childcare responsibilities (lone parent),Childcare: Has childcare responsibilities (lone parent)
childc,chl_non,childc_nch,2.06.00.003,primary,No childcare,No childcare responsibilities,Childcare: No childcare responsibilities
childc,zzz_pns,childc_pns,2.06.00.999,secondary,Prefer not to say,Prefer not to say,Childcare: Prefer not to say
sexogr,sxo_het,sexogr_het,2.07.00.001,primary,Heterosexual/straight,Heterosexual/straight,Sexual orientation (grouped): Heterosexual/straight
sexogr,sxo_lgb,sexogr_lgb,2.07.00.002,primary,"Lesbian, gay, bisexual or other","Lesbian, gay, bisexual or other","Sexual orientation (grouped): Lesbian, gay, bisexual or other"
sexogr,zzz_oth,sexogr_oth,2.07.00.900,primary,Other sexual orientation,Any other sexual orientation,Sexual orientation (grouped): Any other sexual orientation
sexorn,sxo_het,sexorn_het,2.07.01.001,primary,Heterosexual/straight,Heterosexual/straight,Sexual orientation: Heterosexual/straight
sexorn,sxo_gol,sexorn_gol,2.07.01.002,primary,Gay or lesbian,Gay or lesbian,Sexual orientation: Gay or lesbian
sexorn,sxo_bis,sexorn_bis,2.07.01.003,primary,Bisexual,Bisexual,Sexual orientation: Bisexual
sexorn,sxo_oth,sexorn_oth,2.07.01.900,primary,Other sexual orientation,Any other sexual orientation,Sexual orientation: Any other sexual orientation
sexorn,zzz_pns,sexorn_pns,2.07.01.999,secondary,Prefer not to say,Prefer not to say,Sexual orientation: Prefer not to say
relign,rel_non,relign_nor,2.08.00.001,primary,No religion,No religion,Religion: No religion
relign,rel_chr,relign_chr,2.08.00.002,primary,Christian,Christian,Religion: Christian
relign,rel_bud,relign_bud,2.08.00.003,primary,Buddhist,Buddhist,Religion: Buddhist
relign,rel_hin,relign_hin,2.08.00.004,primary,Hindu,Hindu,Religion: Hindu
relign,rel_jew,relign_jew,2.08.00.005,primary,Jewish,Jewish,Religion: Jewish
relign,rel_mus,relign_mus,2.08.00.006,primary,Muslim,Muslim,Religion: Muslim
relign,rel_sik,relign_sik,2.08.00.007,primary,Sikh,Sikh,Religion: Sikh
relign,rel_oth,relign_oth,2.08.00.900,primary,Other religion,Any other religion,Religion: Any other religion
relign,zzz_pns,relign_pns,2.08.00.999,secondary,Prefer not to say,Prefer not to say,Religion: Prefer not to say
nssec,seb_nse_hig,nssec_hig,2.09.01.001,primary,Managerial and professional,"Managerial, administrative, and professional occupations","NSSEC background: Managerial, administrative, and professional occupations"
nssec,seb_nse_int,nssec_int,2.09.01.002,primary,Intermediate occupations,Intermediate occupations,NSSEC background: Intermediate occupations
nssec,seb_nse_rou,nssec_rou,2.09.01.003,primary,Routine occupations,Routine and manual occupations,NSSEC background: Routine and manual occupations
nssec,seb_nse_nwk,nssec_nwk,2.09.01.004,primary,Never worked,Never worked and long-term unemployed,NSSEC background: Never worked and long-term unemployed
schtyp,sch_sat_nse,schtyp_sns,2.09.02.101,primary,State non-selective,"State run/funded school, not selective","Secondary school: State run/funded school, not selective"
schtyp,sch_sat_sel,schtyp_sse,2.09.02.102,primary,State selective,"State run/funded school, selective on academic, faith or other grounds","Secondary school: State run/funded school, selective on academic, faith or other grounds"
schtyp,sch_ind_bur,schtyp_inb,2.09.02.201,primary,Independent with bursary,"Independent school, attended with a bursary","Secondary school: Independent school, attended with a bursary"
schtyp,sch_ind_nob,schtyp_inn,2.09.02.202,primary,Independent no bursary,"Independent school, attended without a bursary","Secondary school: Independent school, attended without a bursary"
schtyp,sch_out,schtyp_out,2.09.02.300,primary,Outside of the UK,Attended school outside of the UK,Secondary school: Attended school outside of the UK
schtyp,sch_oth,schtyp_oth,2.09.02.990,secondary,Other schooling,Other school experience,Secondary school: Other school experience
schtyp,zzz_dkn,schtyp_dkn,2.09.02.998,secondary,Don't know,Don't know,Secondary school: Don't know
schtyp,zzz_pns,schtyp_pns,2.09.02.999,secondary,Prefer not to say,Prefer not to say,Secondary school: Prefer not to say
prqual,qul_one,prqual_one,2.09.03.001,primary,Degree level,At least one parent with qualifications above degree level,Parents' qualifications: At least one parent with qualifications above degree level
prqual,qul_bel,prqual_bel,2.09.03.002,primary,Below degree level,At least one parent has qualifications below degree level,Parents' qualifications: At least one parent has qualifications below degree level
prqual,qul_non,prqual_noq,2.09.03.003,primary,No qualifications,Neither parent has qualifications,Parents' qualifications: Neither parent has qualifications
prqual,zzz_oth,prqual_oth,2.09.03.990,secondary,Other qualification status,Other qualification status,Parents' qualifications: Other qualification status
prqual,zzz_pns,prqual_pns,2.09.03.990,secondary,Prefer not to say,Prefer not to say,Parents' qualifications: Prefer not to say
prqual,zzz_not_app,prqual_nap,2.09.03.996,secondary,Not applicable,Not applicable,Parents' qualifications: Not applicable
prqual,zzz_dkn,prqual_dkn,2.09.03.998,secondary,Don't know,Don't know,Parents' qualifications: Don't know
sebslf,seb_slf_low,sebslf_low,2.09.04.001,primary,Lower socio-economic background,Considers self to have lower socio-economic background to others,Self-reported background: Considers self to have lower socio-economic background to others
sebslf,seb_slf_not,sebslf_not,2.09.04.002,primary,Not from a lower socio-economic background,Does not consider self to have lower socio-economic background to others,Self-reported background: Does not consider self to have lower socio-economic background to others
sebslf,zzz_dkn,sebslf_dkn,2.09.04.998,secondary,Don't know,Don't know,Self-reported background: Don't know
sebslf,zzz_pns,sebslf_pns,2.09.04.999,secondary,Prefer not to say,Prefer not to say,Self-reported background: Prefer not to say
